"","date","MMWR_Year","MMWR_Week","MMWR_Month","State_Full","State","Population","Region","Region_Name","Cases","New_Hosp","Total_Hosp","ICU_Hosp","Covid_Deaths","Series_Complete","Series_Complete_Pct","Booster","Bivalent_Booster","Bivalent_Booster_Pct"
"67",2020-02-01,2020,5,2,"Indiana","IN",6790497,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"68",2020-02-01,2020,5,2,"Iowa","IA",3191141,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"69",2020-02-01,2020,5,2,"Kansas","KS",2938172,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"70",2020-02-01,2020,5,2,"Kentucky","KY",4508318,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"71",2020-02-01,2020,5,2,"Louisiana","LA",4652301,"6","South Central",0,0,0,0,0,0,0,0,0,0
"72",2020-02-01,2020,5,2,"Maine","ME",1364571,"1","New England",0,0,0,0,0,0,0,0,0,0
"73",2020-02-01,2020,5,2,"Maryland","MD",6177935,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"74",2020-02-01,2020,5,2,"Massachusetts","MA",6994598,"1","New England",0,0,0,0,0,0,0,0,0,0
"75",2020-02-01,2020,5,2,"Michigan","MI",10072703,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"76",2020-02-01,2020,5,2,"Minnesota","MN",5710735,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"77",2020-02-01,2020,5,2,"Mississippi","MS",2958536,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"78",2020-02-01,2020,5,2,"Missouri","MO",6154744,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"79",2020-02-01,2020,5,2,"Montana","MT",1087230,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"80",2020-02-01,2020,5,2,"Nebraska","NE",1963387,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"81",2020-02-01,2020,5,2,"Nevada","NV",3116967,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"82",2020-02-01,2020,5,2,"New Hampshire","NH",1378756,"1","New England",0,0,0,0,0,0,0,0,0,0
"83",2020-02-01,2020,5,2,"New Jersey","NJ",9272794,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"84",2020-02-01,2020,5,2,"New Mexico","NM",2118606,"6","South Central",0,0,0,0,0,0,0,0,0,0
"85",2020-02-01,2020,5,2,"New York","NY",20105171,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"86",2020-02-01,2020,5,2,"North Carolina","NC",10449652,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"87",2020-02-01,2020,5,2,"North Dakota","ND",779563,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"88",2020-02-01,2020,5,2,"Ohio","OH",11798905,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"89",2020-02-01,2020,5,2,"Oklahoma","OK",3965415,"6","South Central",0,0,0,0,0,0,0,0,0,0
"90",2020-02-01,2020,5,2,"Oregon","OR",4243779,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"91",2020-02-01,2020,5,2,"Pennsylvania","PA",12996143,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"92",2020-02-01,2020,5,2,"Rhode Island","RI",1096530,"1","New England",0,0,0,0,0,0,0,0,0,0
"93",2020-02-01,2020,5,2,"South Carolina","SC",5132249,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"94",2020-02-01,2020,5,2,"South Dakota","SD",887948,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"95",2020-02-01,2020,5,2,"Tennessee","TN",6927904,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"96",2020-02-01,2020,5,2,"Texas","TX",29239570,"6","South Central",0,0,0,0,0,0,0,0,0,0
"97",2020-02-01,2020,5,2,"Utah","UT",3284077,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"98",2020-02-01,2020,5,2,"Vermont","VT",642977,"1","New England",0,0,0,0,0,0,0,0,0,0
"99",2020-02-01,2020,5,2,"Virginia","VA",8637615,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"100",2020-02-01,2020,5,2,"Washington","WA",7727209,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"101",2020-02-01,2020,5,2,"West Virginia","WV",1791646,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"102",2020-02-01,2020,5,2,"Wisconsin","WI",5897375,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"103",2020-02-01,2020,5,2,"Wyoming","WY",577681,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"104",2020-02-01,2020,5,2,"Puerto Rico","PR",3281590,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"105",2020-02-08,2020,6,2,"Alabama","AL",5033094,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"106",2020-02-08,2020,6,2,"Alaska","AK",733017,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"107",2020-02-08,2020,6,2,"Arizona","AZ",7187135,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"108",2020-02-08,2020,6,2,"Arkansas","AR",3014546,"6","South Central",3,0,0,0,0,0,0,0,0,0
"109",2020-02-08,2020,6,2,"California","CA",39521958,"9","Pacific",8,0,0,0,0,0,0,0,0,0
"110",2020-02-08,2020,6,2,"Colorado","CO",5787129,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"111",2020-02-08,2020,6,2,"Connecticut","CT",3579918,"1","New England",0,0,0,0,0,0,0,0,0,0
"112",2020-02-08,2020,6,2,"Delaware","DE",991928,"3","Mid-Atlantic",1,0,0,0,0,0,0,0,0,0
"113",2020-02-08,2020,6,2,"District of Columbia","DC",670917,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"114",2020-02-08,2020,6,2,"Florida","FL",21592035,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"115",2020-02-08,2020,6,2,"Georgia","GA",10732888,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"116",2020-02-08,2020,6,2,"Hawaii","HI",1451252,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"117",2020-02-08,2020,6,2,"Idaho","ID",1849415,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"118",2020-02-08,2020,6,2,"Illinois","IL",12799088,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"119",2020-02-08,2020,6,2,"Indiana","IN",6790497,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"120",2020-02-08,2020,6,2,"Iowa","IA",3191141,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"121",2020-02-08,2020,6,2,"Kansas","KS",2938172,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"122",2020-02-08,2020,6,2,"Kentucky","KY",4508318,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"123",2020-02-08,2020,6,2,"Louisiana","LA",4652301,"6","South Central",0,0,0,0,0,0,0,0,0,0
"124",2020-02-08,2020,6,2,"Maine","ME",1364571,"1","New England",0,0,0,0,0,0,0,0,0,0
"125",2020-02-08,2020,6,2,"Maryland","MD",6177935,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"126",2020-02-08,2020,6,2,"Massachusetts","MA",6994598,"1","New England",1,0,0,0,0,0,0,0,0,0
"127",2020-02-08,2020,6,2,"Michigan","MI",10072703,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"128",2020-02-08,2020,6,2,"Minnesota","MN",5710735,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"129",2020-02-08,2020,6,2,"Mississippi","MS",2958536,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"130",2020-02-08,2020,6,2,"Missouri","MO",6154744,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"131",2020-02-08,2020,6,2,"Montana","MT",1087230,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"132",2020-02-08,2020,6,2,"Nebraska","NE",1963387,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"133",2020-02-08,2020,6,2,"Nevada","NV",3116967,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"134",2020-02-08,2020,6,2,"New Hampshire","NH",1378756,"1","New England",0,0,0,0,0,0,0,0,0,0
"135",2020-02-08,2020,6,2,"New Jersey","NJ",9272794,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"136",2020-02-08,2020,6,2,"New Mexico","NM",2118606,"6","South Central",0,0,0,0,0,0,0,0,0,0
"137",2020-02-08,2020,6,2,"New York","NY",20105171,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"138",2020-02-08,2020,6,2,"North Carolina","NC",10449652,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"139",2020-02-08,2020,6,2,"North Dakota","ND",779563,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"140",2020-02-08,2020,6,2,"Ohio","OH",11798905,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"141",2020-02-08,2020,6,2,"Oklahoma","OK",3965415,"6","South Central",0,0,0,0,0,0,0,0,0,0
"142",2020-02-08,2020,6,2,"Oregon","OR",4243779,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"143",2020-02-08,2020,6,2,"Pennsylvania","PA",12996143,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"144",2020-02-08,2020,6,2,"Rhode Island","RI",1096530,"1","New England",0,0,0,0,0,0,0,0,0,0
"145",2020-02-08,2020,6,2,"South Carolina","SC",5132249,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"146",2020-02-08,2020,6,2,"South Dakota","SD",887948,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"147",2020-02-08,2020,6,2,"Tennessee","TN",6927904,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"148",2020-02-08,2020,6,2,"Texas","TX",29239570,"6","South Central",0,0,0,0,0,0,0,0,0,0
"149",2020-02-08,2020,6,2,"Utah","UT",3284077,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"150",2020-02-08,2020,6,2,"Vermont","VT",642977,"1","New England",0,0,0,0,0,0,0,0,0,0
"151",2020-02-08,2020,6,2,"Virginia","VA",8637615,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"152",2020-02-08,2020,6,2,"Washington","WA",7727209,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"153",2020-02-08,2020,6,2,"West Virginia","WV",1791646,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"154",2020-02-08,2020,6,2,"Wisconsin","WI",5897375,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"155",2020-02-08,2020,6,2,"Wyoming","WY",577681,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"156",2020-02-08,2020,6,2,"Puerto Rico","PR",3281590,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"157",2020-02-15,2020,7,2,"Alabama","AL",5033094,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"158",2020-02-15,2020,7,2,"Alaska","AK",733017,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"159",2020-02-15,2020,7,2,"Arizona","AZ",7187135,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"160",2020-02-15,2020,7,2,"Arkansas","AR",3014546,"6","South Central",1,0,0,0,0,0,0,0,0,0
"161",2020-02-15,2020,7,2,"California","CA",39521958,"9","Pacific",14,0,0,0,0,0,0,0,0,0
"162",2020-02-15,2020,7,2,"Colorado","CO",5787129,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"163",2020-02-15,2020,7,2,"Connecticut","CT",3579918,"1","New England",0,0,0,0,0,0,0,0,0,0
"164",2020-02-15,2020,7,2,"Delaware","DE",991928,"3","Mid-Atlantic",1,0,0,0,0,0,0,0,0,0
"165",2020-02-15,2020,7,2,"District of Columbia","DC",670917,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"166",2020-02-15,2020,7,2,"Florida","FL",21592035,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"167",2020-02-15,2020,7,2,"Georgia","GA",10732888,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"168",2020-02-15,2020,7,2,"Hawaii","HI",1451252,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"169",2020-02-15,2020,7,2,"Idaho","ID",1849415,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"170",2020-02-15,2020,7,2,"Illinois","IL",12799088,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"171",2020-02-15,2020,7,2,"Indiana","IN",6790497,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"172",2020-02-15,2020,7,2,"Iowa","IA",3191141,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"173",2020-02-15,2020,7,2,"Kansas","KS",2938172,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"174",2020-02-15,2020,7,2,"Kentucky","KY",4508318,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"175",2020-02-15,2020,7,2,"Louisiana","LA",4652301,"6","South Central",0,0,0,0,0,0,0,0,0,0
"176",2020-02-15,2020,7,2,"Maine","ME",1364571,"1","New England",0,0,0,0,0,0,0,0,0,0
"177",2020-02-15,2020,7,2,"Maryland","MD",6177935,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"178",2020-02-15,2020,7,2,"Massachusetts","MA",6994598,"1","New England",0,0,0,0,0,0,0,0,0,0
"179",2020-02-15,2020,7,2,"Michigan","MI",10072703,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"180",2020-02-15,2020,7,2,"Minnesota","MN",5710735,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"181",2020-02-15,2020,7,2,"Mississippi","MS",2958536,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"182",2020-02-15,2020,7,2,"Missouri","MO",6154744,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"183",2020-02-15,2020,7,2,"Montana","MT",1087230,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"184",2020-02-15,2020,7,2,"Nebraska","NE",1963387,"7","Central Plains",0,0,0,0,0,0,0,0,0,0
"185",2020-02-15,2020,7,2,"Nevada","NV",3116967,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"186",2020-02-15,2020,7,2,"New Hampshire","NH",1378756,"1","New England",0,0,0,0,0,0,0,0,0,0
"187",2020-02-15,2020,7,2,"New Jersey","NJ",9272794,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"188",2020-02-15,2020,7,2,"New Mexico","NM",2118606,"6","South Central",0,0,0,0,0,0,0,0,0,0
"189",2020-02-15,2020,7,2,"New York","NY",20105171,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"190",2020-02-15,2020,7,2,"North Carolina","NC",10449652,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"191",2020-02-15,2020,7,2,"North Dakota","ND",779563,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"192",2020-02-15,2020,7,2,"Ohio","OH",11798905,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"193",2020-02-15,2020,7,2,"Oklahoma","OK",3965415,"6","South Central",0,0,0,0,0,0,0,0,0,0
"194",2020-02-15,2020,7,2,"Oregon","OR",4243779,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"195",2020-02-15,2020,7,2,"Pennsylvania","PA",12996143,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"196",2020-02-15,2020,7,2,"Rhode Island","RI",1096530,"1","New England",0,0,0,0,0,0,0,0,0,0
"197",2020-02-15,2020,7,2,"South Carolina","SC",5132249,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"198",2020-02-15,2020,7,2,"South Dakota","SD",887948,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"199",2020-02-15,2020,7,2,"Tennessee","TN",6927904,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"200",2020-02-15,2020,7,2,"Texas","TX",29239570,"6","South Central",0,0,0,0,0,0,0,0,0,0
"201",2020-02-15,2020,7,2,"Utah","UT",3284077,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"202",2020-02-15,2020,7,2,"Vermont","VT",642977,"1","New England",0,0,0,0,0,0,0,0,0,0
"203",2020-02-15,2020,7,2,"Virginia","VA",8637615,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"204",2020-02-15,2020,7,2,"Washington","WA",7727209,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"205",2020-02-15,2020,7,2,"West Virginia","WV",1791646,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
"206",2020-02-15,2020,7,2,"Wisconsin","WI",5897375,"5","Midwest",0,0,0,0,0,0,0,0,0,0
"207",2020-02-15,2020,7,2,"Wyoming","WY",577681,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"208",2020-02-15,2020,7,2,"Puerto Rico","PR",3281590,"2","NY,NJ,PR,VI",0,0,0,0,0,0,0,0,0,0
"209",2020-02-22,2020,8,2,"Alabama","AL",5033094,"4","Southeast",0,0,0,0,0,0,0,0,0,0
"210",2020-02-22,2020,8,2,"Alaska","AK",733017,"10","Pacific Northwest",0,0,0,0,0,0,0,0,0,0
"211",2020-02-22,2020,8,2,"Arizona","AZ",7187135,"9","Pacific",0,0,0,0,0,0,0,0,0,0
"212",2020-02-22,2020,8,2,"Arkansas","AR",3014546,"6","South Central",3,0,0,0,0,0,0,0,0,0
"213",2020-02-22,2020,8,2,"California","CA",39521958,"9","Pacific",22,0,0,0,0,0,0,0,0,0
"214",2020-02-22,2020,8,2,"Colorado","CO",5787129,"8","Mountain States",0,0,0,0,0,0,0,0,0,0
"215",2020-02-22,2020,8,2,"Connecticut","CT",3579918,"1","New England",0,0,0,0,0,0,0,0,0,0
"216",2020-02-22,2020,8,2,"Delaware","DE",991928,"3","Mid-Atlantic",2,0,0,0,0,0,0,0,0,0
"217",2020-02-22,2020,8,2,"District of Columbia","DC",670917,"3","Mid-Atlantic",0,0,0,0,0,0,0,0,0,0
